rssi1,rssi2,rssi3,rssi4,rssi5,rssi6,rssi7,rssi8,rssi9,rssi10,rssi11,r,rssi
-75,-69,-69,-91,-47,-86,-61,-93,-56,-68,-76,,-71.90909091
-75,-64,-70,-91,-46,-88,-61,-94,-56,-68,-80,,-72.09090909
-70,-65,-71,-93,-45,-90,-64,-94,-56,-67,-83,,-72.54545455
-69,-60,-74,-92,-49,-93,-68,-95,-56,-64,-88,,-73.45454545
-68,-60,-71,-91,-48,-93,-69,-95,-57,-60,-90,,-72.90909091
-67,-60,-73,-92,-43,-94,-69,-94,-62,-59,-93,,-73.27272727
-64,-60,-73,-91,-42,-91,-72,-94,-63,-57,-92,,-72.63636364
-62,-60,-71,-88,-38,-85,-74,-91,-66,-61,-93,,-71.72727273
-62,-56,-67,-86,-40,-81,-72,-87,-71,-58,-93,,-70.27272727
-64,-55,-66,-85,-35,-82,-72,-87,-72,-57,-94,,-69.90909091
-65,-55,-65,-86,-30,-84,-73,-88,-69,-55,-96,,-69.63636364
-66,-57,-66,-86,-30,-84,-74,-87,-70,-53,-97,,-70
-63,-55,-63,-87,-28,-87,-75,-83,-68,-55,-98,,-69.27272727
-61,-53,-66,-86,-31,-87,-77,-84,-75,-55,-97,,-70.18181818
-57,-48,-64,-75,-34,-81,-75,-74,-71,-54,-95,,-66.18181818
-56,-43,-60,-69,-37,-79,-74,-67,-73,-57,-94,,-64.45454545
-55,-47,-61,-66,-39,-76,-74,-64,-72,-58,-93,,-64.09090909
-53,-47,-62,-65,-40,-77,-72,-67,-72,-62,-93,,-64.54545455
-52,-42,-61,-67,-42,-77,-72,-66,-71,-65,-96,,-64.63636364
-51,-43,-60,-66,-43,-76,-74,-68,-71,-68,-95,,-65
-48,-45,-59,-67,-43,-77,-77,-63,-72,-67,-94,,-64.72727273
-48,-46,-56,-64,-43,-77,-79,-64,-69,-69,-93,,-64.36363636
-47,-43,-55,-63,-49,-75,-79,-62,-68,-73,-91,,-64.09090909
-47,-41,-58,-64,-50,-74,-76,-62,-69,-72,-92,,-64.09090909
-48,-36,-60,-65,-50,-74,-72,-60,-70,-71,-92,,-63.45454545
-48,-35,-56,-65,-52,-73,-70,-55,-73,-73,-93,,-63
-45,-34,-57,-68,-55,-74,-69,-55,-70,-73,-92,,-62.90909091
-45,-36,-56,-64,-52,-74,-70,-53,-70,-78,-93,,-62.81818182
-43,-35,-56,-64,-54,-71,-70,-52,-69,-79,-92,,-62.27272727
-49,-36,-54,-64,-54,-68,-70,-55,-72,-76,-91,,-62.63636364
-43,-36,-54,-62,-53,-68,-66,-59,-70,-77,-89,,-61.54545455
-44,-38,-51,-62,-54,-68,-63,-60,-69,-77,-89,,-61.36363636
-42,-39,-48,-60,-53,-66,-63,-59,-66,-75,-90,,-60.09090909
-41,-38,-47,-61,-55,-66,-63,-59,-70,-78,-89,,-60.63636364
-42,-40,-47,-58,-57,-65,-66,-63,-68,-79,-90,,-61.36363636
-40,-44,-45,-60,-57,-62,-66,-63,-69,-78,-88,,-61.09090909
-38,-43,-45,-56,-61,-62,-63,-65,-73,-80,-84,,-60.90909091
-36,-43,-44,-53,-59,-60,-61,-64,-72,-81,-82,,-59.54545455
-35,-44,-42,-50,-56,-61,-57,-63,-73,-82,-83,,-58.72727273
-34,-52,-45,-48,-56,-60,-59,-64,-76,-87,-81,,-60.18181818
-32,-55,-43,-46,-63,-61,-64,-72,-79,-89,-81,,-62.27272727
-33,-56,-45,-45,-66,-58,-67,-72,-81,-90,-81,,-63.09090909
-33,-53,-46,-45,-67,-59,-69,-75,-78,-91,-82,,-63.45454545
